chr1	874647	874748	0.698516667	0.525015	0.81668481	0.53728	0.92285	0.459873684	0.53855	0.29166981	chr1	874648	874649	NA	NA	10	0	7	0	7	0	5	2	14	0	11	0	NA	NA
chr1	874647	874748	0.698516667	0.525015	0.81668481	0.53728	0.92285	0.459873684	0.53855	0.29166981	chr1	874715	874716	NA	NA	12	0	7	0	7	0	9	0	18	0	10	0	NA	NA
chr1	874647	874748	0.698516667	0.525015	0.81668481	0.53728	0.92285	0.459873684	0.53855	0.29166981	chr1	874716	874717	NA	NA	NA	NA	NA	NA	17	1	NA	NA	NA	NA	5	1	NA	NA
chr1	874647	874748	0.698516667	0.525015	0.81668481	0.53728	0.92285	0.459873684	0.53855	0.29166981	chr1	874718	874719	NA	NA	12	0	7	0	7	0	9	0	17	0	10	0	NA	NA
chr1	874647	874748	0.698516667	0.525015	0.81668481	0.53728	0.92285	0.459873684	0.53855	0.29166981	chr1	874719	874720	NA	NA	NA	NA	NA	NA	17	1	NA	NA	NA	NA	6	0	NA	NA
chr1	1120567	1120668	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.50847	0.562722658	chr1	1120625	1120626	7	4	6	3	NA	NA	NA	NA	NA	NA	5	1	5	1	NA	NA
chr1	1120567	1120668	0.309683333	0.36749	0.930212658	0.51184	0.9684875	0.273557895	0.50847	0.562722658	chr1	1120626	1120627	NA	NA	NA	NA	NA	NA	7	2	NA	NA	6	3	4	2	NA	NA
chr1	1234304	1234405	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.48819	0.45256462	chr1	1234306	1234307	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	6	0	NA	NA
chr1	1234304	1234405	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.48819	0.45256462	chr1	1234329	1234330	NA	NA	NA	NA	NA	NA	6	0	6	0	NA	NA	8	0	NA	NA
chr1	1234304	1234405	0.2702	0.358605	0.81116962	0.46942	0.9028875	0.289157895	0.48819	0.45256462	chr1	1234374	1234375	NA	NA	9	1	10	0	7	0	6	1	NA	NA	7	1	6	0
chr1	1234794	1234895	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.56955	0.352069487	chr1	1234827	1234828	NA	NA	NA	NA	6	2	7	1	NA	NA	NA	NA	6	0	NA	NA
chr1	1234794	1234895	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.56955	0.352069487	chr1	1234828	1234829	NA	NA	NA	NA	NA	NA	10	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234794	1234895	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.56955	0.352069487	chr1	1234834	1234835	NA	NA	NA	NA	7	0	8	0	NA	NA	NA	NA	6	0	NA	NA
chr1	1234794	1234895	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.56955	0.352069487	chr1	1234835	1234836	NA	NA	NA	NA	NA	NA	9	1	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1234794	1234895	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.56955	0.352069487	chr1	1234869	1234870	NA	NA	NA	NA	6	1	7	0	NA	NA	6	1	6	0	NA	NA
chr1	1234794	1234895	0.29355	0.48986	0.841929487	0.5597	0.912975	0.491531579	0.56955	0.352069487	chr1	1234872	1234873	NA	NA	NA	NA	6	1	8	0	NA	NA	7	1	6	0	NA	NA
chr1	1731365	1731466	0.773366667	0.59294	0.842827848	0.67112	0.9027375	0.475731579	0.66829	0.249887848	chr1	1731367	1731368	7	0	10	0	8	0	NA	NA	11	0	NA	NA	NA	NA	NA	NA
chr1	1731365	1731466	0.773366667	0.59294	0.842827848	0.67112	0.9027375	0.475731579	0.66829	0.249887848	chr1	1731368	1731369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2004931	2004932	NA	NA	6	7	7	7	5	6	5	3	NA	NA	6	5	4	2
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2004932	2004933	NA	NA	NA	NA	7	3	NA	NA	NA	NA	NA	NA	5	4	5	1
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2004939	2004940	NA	NA	11	3	11	3	7	4	6	2	6	0	12	1	5	1
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2004940	2004941	NA	NA	5	2	9	3	NA	NA	NA	NA	NA	NA	8	4	7	0
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2004981	2004982	NA	NA	12	0	8	5	5	4	6	2	8	0	10	2	NA	NA
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2004982	2004983	NA	NA	8	0	11	2	NA	NA	NA	NA	NA	NA	6	3	5	3
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2005007	2005008	NA	NA	8	1	7	4	6	3	3	3	7	1	6	7	5	1
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2005008	2005009	NA	NA	9	3	7	4	3	3	NA	NA	7	0	3	5	4	3
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2005013	2005014	NA	NA	7	2	6	3	4	3	NA	NA	8	0	10	3	5	1
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2005014	2005015	NA	NA	11	1	9	1	NA	NA	4	2	7	0	2	6	7	1
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2005016	2005017	NA	NA	5	4	6	3	2	5	NA	NA	7	1	5	7	4	2
chr1	2004918	2005019	0.168433333	0.2921625	0.829434177	0.35106	0.9743	0.292163158	0.33695	0.537271677	chr1	2005017	2005018	NA	NA	4	7	6	5	NA	NA	2	4	5	2	2	6	5	3
