"cereb_average","all_brain_average","other_brain_avg","pref_average","leuk_average","white_matter","chr","start","X.Sample_geo_accession"
0.309683333333333,0.36749,0.930212658227848,0.51184,0.9684875,0.273557894736842,"1",1120617,"cg23087108"
0.2702,0.358605,0.811169620253165,0.46942,0.9028875,0.289157894736842,"1",1234354,"cg19414302"
0.29355,0.48986,0.841929487179487,0.5597,0.912975,0.491531578947368,"1",1234844,"cg06981504"
0.168433333333333,0.2921625,0.82943417721519,0.35106,0.9743,0.292163157894737,"1",2004968,"cg03959306"
0.1193,0.252405,0.856537974683544,0.33034,0.95315,0.236252631578947,"1",2006032,"cg27587033"
0.174466666666667,0.3299225,0.894987341772152,0.36334,0.9423125,0.347042105263158,"1",2006465,"cg06791083"
0.269483333333333,0.3112475,0.917798717948718,0.37032,0.9433,0.2681,"1",2006896,"cg01970427"
0.695283333333333,0.4697125,0.90596835443038,0.5219,0.96025,0.349652631578947,"1",2030462,"cg18888671"
0.183133333333333,0.3024775,0.816730379746835,0.40774,0.9441125,0.254078947368421,"1",2030817,"cg19759051"
0.68725,0.393035,0.851616455696202,0.4281,0.9324375,0.271257894736842,"1",2066006,"cg22366001"
0.24735,0.40655,0.894449367088608,0.49526,0.9528875,0.384521052631579,"1",2174725,"cg07842327"
0.187816666666667,0.2056425,0.800354430379747,0.2455,0.924325,0.172868421052632,"1",2188894,"cg05937603"
0.166366666666667,0.400405,0.909441772151899,0.37832,0.9280375,0.488057894736842,"1",2191402,"cg18934822"
0.2407,0.416725,0.846943037974684,0.491,0.91455,0.410647368421053,"1",2234751,"cg21405929"
0.15265,0.322215,0.857612658227848,0.45054,0.94215,0.247278947368421,"1",2866667,"cg24412662"
0.39475,0.346805,0.810525316455696,0.41322,0.9133,0.263647368421053,"1",2899656,"cg03737787"
0.751866666666667,0.4885175,0.826686075949367,0.4666,0.9034375,0.415721052631579,"1",2900163,"cg11142506"
0.103816666666667,0.4735875,0.845489873417722,0.59884,0.9716625,0.484268421052632,"1",3133763,"cg15619820"
0.161433333333333,0.3815625,0.830041772151899,0.53294,0.9526125,0.326210526315789,"1",3133857,"cg22720392"
0.237666666666667,0.465945,0.898350632911392,0.57116,0.96795,0.457652631578947,"1",3135375,"cg25153629"
0.151666666666667,0.3932075,0.8781,0.51802,0.9318,0.363078947368421,"1",3136333,"cg17489690"
0.296,0.476755,0.819615189873418,0.52524,0.9016625,0.469642105263158,"1",3144710,"cg13152158"
0.785133333333333,0.433315,0.904567088607595,0.48026,0.9207125,0.277984210526316,"1",3277525,"cg01602345"
0.865866666666667,0.451495,0.920932911392405,0.4989,0.9397375,0.285915789473684,"1",3277623,"cg01071314"
0.547,0.489735,0.82423164556962,0.5387,0.9119625,0.4318,"1",3547534,"cg25616043"
0.16355,0.3366425,0.851681012658228,0.48654,0.906325,0.269894736842105,"1",3662685,"cg00397104"
0.31155,0.4595075,0.8219,0.55536,0.92785,0.422942105263158,"1",6132185,"cg16361915"
0.344166666666667,0.300305,0.914008860759494,0.42354,0.949425,0.1936,"1",6333843,"cg06834177"
0.575316666666667,0.4742675,0.905256962025316,0.5373,0.9446625,0.414268421052632,"1",6333867,"cg15100947"
0.855366666666667,0.47999,0.885793670886076,0.61348,0.9124125,0.254305263157895,"1",6352357,"cg26570804"
0.0598,0.1223525,0.895839240506329,0.21364,0.9488125,0.0665947368421053,"1",8442507,"cg06634717"
0.765883333333333,0.41524,0.811715189873418,0.43668,0.9068875,0.279210526315789,"1",9383245,"cg01437439"
0.477,0.39322,0.802637974683544,0.39814,0.96015,0.369126315789474,"1",10169029,"cg10125465"
0.1485,0.334838461538462,0.858411392405063,0.46286,0.9673875,0.280188888888889,"1",10221203,"cg07209987"
0.218783333333333,0.251635,0.897618987341772,0.40894,0.9024625,0.128626315789474,"1",10240017,"cg27508545"
0.191066666666667,0.2806675,0.926859493670886,0.41658,0.966375,0.206205263157895,"1",10240025,"cg23661000"
0.4476,0.391855,0.806974683544304,0.39958,0.9468625,0.370789473684211,"1",11158987,"cg13558322"
0.643933333333333,0.475835,0.84783417721519,0.54176,0.9363625,0.372494736842105,"1",11182153,"cg15725046"
0.87855,0.45269,0.812678481012658,0.48044,0.9433375,0.286715789473684,"1",11361900,"cg08544453"
0.352183333333333,0.47873,0.831778481012658,0.51748,0.9383375,0.498268421052632,"1",12268883,"cg11665613"
0.5692,0.3346925,0.878307594936709,0.42738,0.9453875,0.179447368421053,"1",12566060,"cg01318461"
0.872216666666667,0.4705575,0.876087341772152,0.51346,0.9614,0.316478947368421,"1",14078744,"cg21288507"
0.153083333333333,0.3533975,0.891548101265823,0.47776,0.96485,0.328042105263158,"1",14113172,"cg01411652"
0.175933333333333,0.4047025,0.902843037974684,0.53036,0.9707125,0.382368421052632,"1",14113203,"cg15568145"
0.208866666666667,0.4027925,0.913239240506329,0.5105,0.9499875,0.374210526315789,"1",14113230,"cg16273075"
0.3426,0.456825,0.815943037974684,0.5241,0.938975,0.431189473684211,"1",16945449,"cg00021123"
0.665466666666667,0.4143225,0.821522784810127,0.46898,0.922725,0.297863157894737,"1",19526929,"cg22601762"
0.48795,0.4615975,0.801818987341772,0.45852,0.9217125,0.442089473684211,"1",19746564,"cg13319175"
0.452333333333333,0.475365,0.833658227848101,0.57586,0.91335,0.406463157894737,"1",19983475,"cg13550729"
0.8941,0.4466675,0.9175,0.51244,0.9445875,0.2556,"1",23162550,"cg15447913"
0.768483333333333,0.393615,0.844935443037975,0.40282,0.93935,0.259526315789474,"1",24086220,"cg24502901"
0.322766666666667,0.449085,0.855974683544304,0.51842,0.94305,0.4319,"1",26230906,"cg21216015"
0.757166666666667,0.3887325,0.822837974683544,0.48876,0.928425,0.197242105263158,"1",29490924,"cg12609322"
0.225733333333333,0.3210125,0.835681012658228,0.50272,0.945925,0.2147,"1",33231313,"cg09804503"
0.140216666666667,0.25639,0.811270886075949,0.42672,0.9606125,0.160842105263158,"1",33231382,"cg04892182"
0.304016666666667,0.3817575,0.859162025316456,0.52518,0.937125,0.292757894736842,"1",33848786,"cg02362848"
0.690133333333333,0.457255,0.894946835443038,0.536,0.963875,0.319889473684211,"1",33894461,"cg03380518"
0.7972,0.4800425,0.829645569620253,0.56804,0.9114,0.308505263157895,"1",33937433,"cg01219205"
0.575716666666667,0.42302,0.869215189873418,0.44462,0.9686375,0.351142105263158,"1",35543524,"cg19864036"
0.8291,0.47826,0.873749367088608,0.49896,0.9354625,0.355573684210526,"1",35649498,"cg23207673"
0.129533333333333,0.2152975,0.849673417721519,0.35034,0.945825,0.116036842105263,"1",36559506,"cg09506001"
0.656583333333333,0.426865,0.815512658227848,0.46764,0.920725,0.269094736842105,"1",38279984,"cg04146137"
0.89485,0.4888825,0.897105063291139,0.4897,0.921725,0.377568421052632,"1",39960691,"cg26548351"
0.475833333333333,0.3364925,0.856593670886076,0.38588,0.956925,0.230847368421053,"1",43412752,"cg20294984"
0.7586,0.388948717948718,0.890574683544304,0.43892,0.9616875,0.224611111111111,"1",44482420,"cg15821401"
0.87475,0.45399,0.846341772151899,0.48866,0.9747,0.284447368421053,"1",44991042,"cg02892772"
0.562,0.3874875,0.863169620253165,0.49394,0.9147625,0.241394736842105,"1",45976998,"cg06989253"
0.5015,0.4212725,0.841713924050633,0.46126,0.9113375,0.376310526315789,"1",48162438,"cg20428713"
0.821216666666667,0.45911,0.818473417721519,0.52196,0.9384875,0.287515789473684,"1",51127561,"cg07174182"
0.304133333333333,0.39255,0.861658227848101,0.51878,0.941225,0.302315789473684,"1",51166032,"cg10511332"
0.1972,0.38788,0.818996202531646,0.38336,0.936675,0.458542105263158,"1",51887613,"cg21366602"
0.337683333333333,0.2915575,0.803046835443038,0.28334,0.95405,0.292421052631579,"1",51888574,"cg10027723"
0.423466666666667,0.458855,0.817746835443038,0.47356,0.9403,0.426915789473684,"1",54135470,"cg26932889"
0.74975,0.4389225,0.857330379746835,0.5364,0.960075,0.257694736842105,"1",55331285,"cg09992387"
0.67555,0.4505175,0.824750632911392,0.53738,0.960675,0.301926315789474,"1",55331361,"cg15894315"
0.8807,0.475165,0.839407594936709,0.53032,0.9530125,0.290184210526316,"1",57011246,"cg10500503"
0.7876,0.45149,0.916591139240506,0.47576,0.9644375,0.326047368421053,"1",59348451,"cg07799907"
0.207383333333333,0.3198375,0.855416455696203,0.37468,0.93965,0.332152631578947,"1",61333617,"cg07363657"
0.6603,0.3829475,0.820237974683544,0.46046,0.9095125,0.237642105263158,"1",65047485,"cg21679730"
0.624616666666667,0.48317,0.919724050632911,0.55526,0.9773125,0.383847368421053,"1",65722872,"cg18191867"
0.818833333333333,0.3406525,0.903451898734177,0.32034,0.963675,0.186042105263158,"1",66458803,"cg26912671"
0.186183333333333,0.2647675,0.868179746835443,0.30976,0.9202625,0.253031578947368,"1",67001108,"cg07956346"
0.361133333333333,0.3667125,0.806767088607595,0.52598,0.9218875,0.242673684210526,"1",77836400,"cg15505642"
0.48235,0.450495,0.882515189873418,0.53924,0.9524375,0.346663157894737,"1",78031187,"cg22221847"
0.655333333333333,0.477445,0.893126582278481,0.51256,0.9401375,0.386363157894737,"1",83289714,"cg23639773"
0.792816666666667,0.46905,0.850208860759494,0.5755,0.9343125,0.280321052631579,"1",86913263,"cg17424433"
0.777116666666667,0.40807,0.895418987341772,0.36912,0.9617625,0.315173684210526,"1",90023237,"cg09818397"
0.6538,0.4785775,0.901163291139241,0.60134,0.940875,0.335836842105263,"1",90053734,"cg21422291"
0.794866666666667,0.3950225,0.907084810126582,0.4349,0.9481625,0.218794736842105,"1",90297591,"cg05703211"
0.806916666666667,0.3704675,0.834845569620253,0.41826,0.922725,0.19,"1",107937181,"cg24343913"
0.7518,0.37972,0.858107594936709,0.38834,0.9209625,0.255473684210526,"1",109260678,"cg11413570"
0.637916666666667,0.4398375,0.914810126582278,0.43094,0.9668625,0.392084210526316,"1",109772439,"cg00102183"
0.178533333333333,0.3006075,0.811405063291139,0.41704,0.94105,0.249221052631579,"1",109850562,"cg00154957"
0.202066666666667,0.2410275,0.867408860759494,0.29842,0.9337875,0.209563157894737,"1",111145889,"cg02902915"
0.785083333333333,0.480561538461538,0.848174683544304,0.39948,0.91745,0.444127777777778,"1",116961857,"cg21782985"
0.836633333333333,0.441115,0.844018987341772,0.40504,0.925375,0.3481,"1",117671033,"cg11081093"
0.826383333333333,0.463215,0.919839240506329,0.5185,0.9584125,0.294352631578947,"1",151267394,"cg07841059"
0.190883333333333,0.371485,0.811684810126582,0.41676,0.9183625,0.393921052631579,"1",155148157,"cg06203102"
0.179533333333333,0.365875,0.872660759493671,0.48726,0.9162625,0.303873684210526,"1",156359253,"cg23046847"
0.387266666666667,0.3529,0.844308860759494,0.45478,0.944925,0.251,"1",156370496,"cg13098071"
0.395066666666667,0.320755,0.914224050632911,0.36236,0.9724625,0.259589473684211,"1",156564330,"cg24594293"
0.215733333333333,0.3378175,0.89660641025641,0.43436,0.9204625,0.324915789473684,"1",159111423,"cg12798524"
0.624533333333333,0.4355225,0.812078481012658,0.50422,0.9183,0.316421052631579,"1",161679921,"cg18884942"
0.625166666666667,0.447655,0.822864556962025,0.55438,0.942325,0.297352631578947,"1",161808327,"cg10064029"
0.472316666666667,0.449835,0.835386075949367,0.51986,0.92515,0.404447368421053,"1",161927947,"cg03391019"
0.631883333333333,0.39288,0.900126582278481,0.32476,0.926875,0.354863157894737,"1",164604806,"cg21270847"
