7	97922759	97922760	1	.	0
1	237168688	237168689	2	.	0
15	37084662	37084663	3	.	0
16	89590583	89590584	4	.	0
13	113424938	113424939	5	.	0
6	146203625	146203626	6	.	0
19	1547396	1547397	7	.	0
17	74536269	74536270	8	.	0
16	85233194	85233195	9	.	0
13	113400630	113400631	10	.	0
16	89657887	89657888	11	.	0
2	46593271	46593272	12	.	0
11	10673997	10673998	13	.	0
1	10725571	10725572	14	.	0
8	6876695	6876696	15	.	0
6	32800523	32800524	16	.	0
6	32800519	32800520	17	.	0
11	2871478	2871479	18	.	0
1	173019720	173019721	19	.	0
4	8233264	8233265	20	.	0
12	52308278	52308279	21	.	0
1	193191405	193191406	22	.	0
13	48891544	48891545	23	.	0
17	28592047	28592048	24	.	0
