chr3	14086640	14086641	chr3	14086640	14086641	0	11	15	1	22	1	10	1	18	1	13	1	17	1	10	0
chr13	109323925	109323926	chr13	109323925	109323926	0	10	17	1	23	1	16	0	20	1	15	1	12	1	6	0
chr7	100957104	100957105	chr7	100957104	100957105	0	9	15	1	17	1	12	0	18	1	17	1	14	1	6	0
chr3	184783431	184783432	chr3	184783431	184783432	1	5	17	1	21	1	8	0	13	1	10	1	17	1	6	0
chr2	148281999	148282000	chr2	148281999	148282000	15	1	7	1	7	1	3	5	10	0	9	0	8	0	7	0
chr15	85921893	85921894	chr15	85921893	85921894	0	9	14	1	20	1	20	0	18	1	12	1	12	1	6	0
chr1	191814352	191814353	chr1	191814352	191814353	12	1	13	1	12	1	4	2	13	0	10	0	16	0	9	0
chr9	120362124	120362125	chr9	120362124	120362125	14	1	17	1	20	1	11	4	9	0	13	0	12	0	6	0
chr4	184083955	184083956	chr4	184083955	184083956	0	6	12	1	9	1	9	0	14	1	9	0	10	1	10	1
chr4	22379743	22379744	chr4	22379743	22379744	0	9	17	2	13	2	18	1	10	1	14	1	14	1	10	1
chr1	180323358	180323359	chr1	180323358	180323359	0	9	22	1	13	1	11	0	14	1	20	1	14	1	12	0
chr8	25872361	25872362	chr8	25872361	25872362	12	1	18	1	19	1	6	2	7	0	10	0	15	0	6	0
chr3	170192119	170192120	chr3	170192119	170192120	0	8	10	1	17	1	10	1	10	1	9	1	11	1	7	0
chr2	1650113	1650114	chr2	1650113	1650114	7	0	0	19	1	29	0	12	0	9	0	13	0	15	0	6
chr12	15611775	15611776	chr12	15611775	15611776	8	1	13	1	12	1	5	3	14	0	18	0	16	0	6	0
chr15	63269102	63269103	chr15	63269102	63269103	14	0	0	22	1	27	0	8	0	12	0	14	0	14	0	8
chr9	86822730	86822731	chr9	86822730	86822731	10	0	0	14	1	27	0	12	0	19	0	12	0	17	0	7
chr1	78575537	78575538	chr1	78575537	78575538	3	8	12	2	8	1	9	1	11	2	8	2	7	1	7	1
chr18	49887529	49887530	chr18	49887529	49887530	3	3	3	3	8	9	9	9	4	4	3	9	11	7	4	2
chr3	61741760	61741761	chr3	61741760	61741761	7	1	12	1	12	1	5	3	14	0	7	0	17	0	9	0
chr3	119400430	119400431	chr3	119400430	119400431	0	8	13	1	13	1	11	0	14	1	13	1	23	1	8	0
chr3	162565941	162565942	chr3	162565941	162565942	0	7	9	2	17	3	8	1	8	2	13	5	14	3	7	1
chr3	124185263	124185264	chr3	124185263	124185264	1	5	11	1	19	1	10	1	14	1	16	0	14	1	8	1
chr17	29817185	29817186	chr17	29817185	29817186	0	6	22	0	20	0	14	0	29	0	23	0	27	1	8	0
chr8	126012912	126012913	chr8	126012912	126012913	3	5	15	2	12	1	12	1	13	2	15	2	18	3	7	1
chr2	172500810	172500811	chr2	172500810	172500811	0	7	17	1	17	1	6	1	10	0	19	0	13	0	7	0
chr4	13883988	13883989	chr4	13883988	13883989	12	1	0	19	1	23	0	13	0	17	0	8	0	20	0	8
chr7	28884544	28884545	chr7	28884544	28884545	1	8	17	2	14	2	12	0	15	2	13	1	16	2	9	1
chr11	19629851	19629852	chr11	19629851	19629852	0	16	18	1	18	0	15	0	15	1	13	1	14	0	12	1
chr4	148201419	148201420	chr4	148201419	148201420	2	7	22	1	27	0	16	2	25	1	24	1	17	0	7	0
chr3	187340145	187340146	chr3	187340145	187340146	2	6	16	1	20	2	14	1	15	1	17	2	21	1	6	0
chr13	19530371	19530372	chr13	19530371	19530372	13	0	0	12	0	21	1	17	0	9	0	13	0	18	0	6
chr2	160453766	160453767	chr2	160453766	160453767	11	1	20	1	21	1	6	2	8	0	10	0	21	0	9	0
chr17	35423226	35423227	chr17	35423226	35423227	0	12	15	0	18	0	9	0	18	0	11	0	23	1	9	0
chr10	78385678	78385679	chr10	78385678	78385679	0	11	22	0	19	1	12	0	17	0	15	0	28	0	7	0
chr2	159857604	159857605	chr2	159857604	159857605	6	0	0	9	1	19	0	18	0	14	0	11	0	18	0	7
chr8	130951786	130951787	chr8	130951786	130951787	0	11	11	0	19	1	17	0	10	0	9	0	13	0	12	0
chr12	5847978	5847979	chr12	5847978	5847979	6	3	0	23	0	20	1	25	0	19	0	17	0	25	0	12
chr3	195970961	195970962	chr3	195970961	195970962	3	4	27	0	16	0	29	1	17	0	19	0	26	0	7	0
chr3	188729881	188729882	chr3	188729881	188729882	1	7	21	2	17	2	13	3	21	1	14	1	18	1	6	0
chr1	219480959	219480960	chr1	219480959	219480960	3	7	14	1	11	1	8	0	15	1	11	1	12	1	6	0
chrX	148222598	148222599	chrX	148222598	148222599	0	6	7	0	11	0	16	1	16	0	9	0	7	0	8	0
chr6	38724661	38724662	chr6	38724661	38724662	11	0	0	16	0	20	1	16	0	16	0	23	0	20	0	7
chr8	58265154	58265155	chr8	58265154	58265155	2	7	14	1	17	1	11	0	17	1	11	1	20	1	6	0
chr9	8848667	8848668	chr9	8848667	8848668	10	1	14	1	11	1	6	3	13	0	10	0	25	0	7	0
chr1	145944688	145944689	chr1	145944688	145944689	0	8	14	0	18	1	11	0	6	0	19	0	18	0	13	0
chr2	120880708	120880709	chr2	120880708	120880709	2	4	14	2	26	4	21	1	19	3	19	3	21	4	9	1
chr3	123278217	123278218	chr3	123278217	123278218	10	1	0	14	0	20	1	17	0	17	0	14	0	17	0	7
chr9	70006733	70006734	chr9	70006733	70006734	2	6	15	2	10	2	14	2	9	1	18	1	9	1	9	1
chr2	124615167	124615168	chr2	124615167	124615168	9	2	0	25	0	24	0	11	0	13	0	14	1	26	0	8
chr11	97132906	97132907	chr11	97132906	97132907	6	1	20	4	13	3	11	2	11	2	10	7	18	1	6	0
chr6	140136208	140136209	chr6	140136208	140136209	1	5	16	1	6	0	13	1	16	1	8	1	15	0	8	0
chr13	88542514	88542515	chr13	88542514	88542515	1	5	18	2	9	1	9	1	9	1	7	1	8	1	6	0
chr11	69152502	69152503	chr11	69152502	69152503	7	1	10	1	13	1	3	3	6	0	7	0	8	0	6	0
chr6	150807265	150807266	chr6	150807265	150807266	0	7	22	1	21	0	21	0	12	1	18	2	20	0	6	0
chr3	146951327	146951328	chr3	146951327	146951328	2	5	6	2	8	3	9	3	13	4	8	3	7	2	9	2
chr13	48312146	48312147	chr13	48312146	48312147	6	0	0	9	1	17	0	12	0	11	0	14	0	14	0	7
chr6	144338821	144338822	chr6	144338821	144338822	0	11	16	1	19	2	9	1	11	0	15	0	20	1	7	0
chr18	42103859	42103860	chr18	42103859	42103860	1	5	9	1	15	1	13	2	19	2	13	1	19	1	7	1
