chr1	98186220	98186221	chr1	98186220	98186221	7	0	15	0	5	3	18	2	10	0	11	2	14	1	8	1
chr1	203645885	203645886	chr1	203645885	203645886	NA	NA	7	0	13	1	6	1	11	1	9	2	9	1	NA	NA
chr10	54801272	54801273	chr10	54801272	54801273	NA	NA	1	14	2	11	4	13	0	9	3	14	0	6	NA	NA
chr10	103243949	103243950	chr10	103243949	103243950	NA	NA	NA	NA	NA	NA	7	0	NA	NA	NA	NA	NA	NA	NA	NA
chr1	45231515	45231516	chr1	45231515	45231516	9	0	11	1	10	2	NA	NA	7	1	15	0	8	0	10	0
chr1	231835248	231835249	chr1	231835248	231835249	NA	NA	NA	NA	NA	NA	6	0	NA	NA	6	0	NA	NA	NA	NA
chr1	111066208	111066209	chr1	111066208	111066209	NA	NA	5	1	8	1	6	3	9	1	NA	NA	10	3	7	1
chr10	97419180	97419181	chr10	97419180	97419181	NA	NA	NA	NA	1	9	0	7	NA	NA	0	6	2	7	NA	NA
chr10	125255589	125255590	chr10	125255589	125255590	NA	NA	NA	NA	NA	NA	8	1	NA	NA	6	0	NA	NA	NA	NA
chr10	126319966	126319967	chr10	126319966	126319967	NA	NA	14	2	13	0	5	1	NA	NA	9	2	7	6	NA	NA
chr1	109764431	109764432	chr1	109764431	109764432	NA	NA	10	1	8	0	11	0	9	0	9	0	10	1	NA	NA
chr10	82985729	82985730	chr10	82985729	82985730	8	4	11	2	8	2	10	1	13	0	16	1	9	2	NA	NA
chr10	101757946	101757947	chr10	101757946	101757947	7	1	11	0	7	0	6	1	16	0	19	0	13	1	7	1
chr1	47167124	47167125	chr1	47167124	47167125	6	0	5	1	NA	NA	NA	NA	NA	NA	NA	NA	12	0	NA	NA
chr1	189166347	189166348	chr1	189166347	189166348	NA	NA	11	2	14	1	12	4	5	3	10	1	17	3	4	2
chr1	229473721	229473722	chr1	229473721	229473722	NA	NA	6	0	9	0	9	0	7	0	7	1	7	0	NA	NA
chr11	108855710	108855711	chr11	108855710	108855711	NA	NA	9	0	7	0	10	0	7	0	NA	NA	7	3	NA	NA
chr1	14435484	14435485	chr1	14435484	14435485	6	1	10	0	11	1	7	0	7	2	8	0	4	2	NA	NA
chr1	31662117	31662118	chr1	31662117	31662118	NA	NA	NA	NA	5	1	6	2	NA	NA	4	2	4	4	NA	NA
chr10	112305131	112305132	chr10	112305131	112305132	NA	NA	5	3	1	5	5	3	NA	NA	NA	NA	NA	NA	NA	NA
chr1	94819975	94819976	chr1	94819975	94819976	NA	NA	1	9	1	5	0	7	NA	NA	0	16	1	9	2	5
chr10	101062901	101062902	chr10	101062901	101062902	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA
